step,loss
0,7.913
100,3.1298
200,3.1654
300,3.0687
400,2.7371
500,2.6041
600,3.0868
700,2.9499
800,2.6288
900,2.8277
1000,2.2418
1100,2.5771
1200,2.8639
1300,2.2311
1400,2.389
1500,3.1484
1600,2.1449
1700,2.2461
1800,3.1048
1900,2.4878
